frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
260,1,0.3164,0.5273,0.0,False,False
261,0,0.0128,0.0214,0.0,False,False
261,1,0.3133,0.5178,0.0067,False,False
262,0,0.0128,0.0214,0.0,False,False
262,1,0.3093,0.5111,0.0067,False,False
263,3,0.0162,0.027,0.0,False,False
263,1,0.3126,0.5121,0.0133,False,False
264,0,0.0126,0.0211,0.0,False,False
264,1,0.3026,0.5043,0.0,False,False
265,3,0.017,0.0283,0.0,False,False
265,1,0.298,0.4967,0.0,False,False
266,3,0.0191,0.0274,0.0067,False,False
266,1,0.294,0.49,0.0,False,False
267,0,0.014,0.0234,0.0,False,False
267,1,0.2931,0.4841,0.0067,False,False
268,0,0.0142,0.0236,0.0,False,False
268,1,0.297,0.4905,0.0067,False,False
269,3,0.0159,0.022,0.0067,False,False
269,1,0.2943,0.4861,0.0067,False,False
270,0,0.0142,0.0236,0.0,False,False
270,1,0.2968,0.4903,0.0067,False,False
271,0,0.0147,0.0244,0.0,False,False
271,1,0.2944,0.4863,0.0067,False,False
272,0,0.0178,0.0253,0.0067,False,False
272,1,0.3055,0.5091,0.0,False,False
273,3,0.01,0.0167,0.0,False,False
273,1,0.3111,0.5141,0.0067,False,False
274,3,0.0091,0.0151,0.0,False,False
274,1,0.3056,0.5049,0.0067,False,False
275,3,0.0086,0.0144,0.0,False,False
275,1,0.2987,0.4978,0.0,False,False
276,3,0.0116,0.0105,0.0133,False,False
276,1,0.2907,0.4845,0.0,False,False
277,3,0.0117,0.0107,0.0133,False,False
277,1,0.309,0.5088,0.0094,False,False
278,0,0.018,0.03,0.0,False,False
279,0,0.019,0.0316,0.0,False,False
280,3,0.0108,0.0179,0.0,False,False
281,3,0.0111,0.014,0.0067,False,False
282,0,0.0166,0.0232,0.0067,False,False
283,3,0.0117,0.0106,0.0133,False,False
284,3,0.0206,0.021,0.02,False,False
285,0,0.0105,0.013,0.0067,False,False
286,0,0.0079,0.0131,0.0,False,False
290,0,0.0118,0.0108,0.0133,False,False
291,0,0.0171,0.0107,0.0267,False,False
292,3,0.0212,0.0254,0.0149,False,False
293,3,0.0183,0.0261,0.0067,False,False
294,0,0.0067,0.0112,0.0,False,False
295,3,0.0212,0.029,0.0094,False,False
296,3,0.018,0.03,0.0,False,False
297,0,0.0102,0.0126,0.0067,False,False
298,0,0.0103,0.0126,0.0067,False,False
299,0,0.0077,0.0128,0.0,False,False
299,1,0.5788,0.6935,0.4067,False,False
301,0,0.0089,0.0148,0.0,False,False
301,1,0.3975,0.6625,0.0,False,False
302,3,0.0249,0.0415,0.0,False,False
302,1,0.3843,0.6406,0.0,False,False
303,3,0.0301,0.0457,0.0067,False,False
303,1,0.3826,0.6278,0.0149,False,False
304,3,0.0299,0.0498,0.0,False,False
304,1,0.3712,0.6143,0.0067,False,False
305,0,0.0128,0.0213,0.0,False,False
305,1,0.3681,0.6091,0.0067,False,False
306,0,0.0132,0.022,0.0,False,False
306,1,0.3367,0.5471,0.0211,False,False
307,0,0.0133,0.0221,0.0,False,False
307,1,0.3293,0.5488,0.0,False,False
308,3,0.0313,0.0476,0.0067,False,False
308,1,0.3259,0.5432,0.0,False,False
309,0,0.0128,0.0214,0.0,False,False
309,1,0.3243,0.5404,0.0,False,False
310,3,0.0286,0.0476,0.0,False,False
310,1,0.3195,0.5325,0.0,False,False
311,0,0.0215,0.0314,0.0067,False,False
311,1,0.2627,0.4279,0.0149,False,False
312,0,0.0224,0.0328,0.0067,False,False
312,1,0.2617,0.4298,0.0094,False,False
313,0,0.0208,0.0347,0.0,False,False
313,1,0.2564,0.4273,0.0,False,False
314,3,0.0195,0.0236,0.0133,False,False
314,1,0.2589,0.4252,0.0094,False,False
315,3,0.0129,0.0216,0.0,False,False
315,1,0.2612,0.429,0.0094,False,False
316,0,0.0217,0.0361,0.0,False,False
316,1,0.2583,0.4305,0.0,False,False
317,3,0.0126,0.0165,0.0067,False,False
317,1,0.2595,0.4325,0.0,False,False
318,0,0.0291,0.0396,0.0133,False,False
318,1,0.2624,0.4373,0.0,False,False
319,0,0.0314,0.0391,0.02,False,False
319,1,0.2715,0.4525,0.0,False,False
320,3,0.0121,0.0113,0.0133,False,False
320,1,0.2847,0.4646,0.0149,False,False
321,3,0.0095,0.0114,0.0067,False,False
321,1,0.2906,0.4755,0.0133,False,False
322,1,0.2946,0.4865,0.0067,False,False
323,0,0.0275,0.0413,0.0067,False,False
323,1,0.2947,0.4911,0.0,False,False
324,3,0.0087,0.0056,0.0133,False,False
324,1,0.2978,0.4964,0.0,False,False
325,3,0.0051,0.0041,0.0067,False,False
325,1,0.301,0.5017,0.0,False,False
326,1,0.3037,0.5061,0.0,False,False
327,0,0.0286,0.0432,0.0067,False,False
327,1,0.3137,0.5228,0.0,False,False
328,0,0.0335,0.0425,0.02,False,False
328,1,0.3346,0.5533,0.0067,False,False
329,0,0.0296,0.0405,0.0133,False,False
329,1,0.3803,0.6276,0.0094,False,False
330,0,0.0304,0.0462,0.0067,False,False
330,1,0.386,0.6389,0.0067,False,False
331,0,0.0263,0.0438,0.0,False,False
331,1,0.3987,0.6645,0.0,False,False
332,0,0.0286,0.0477,0.0,False,False
332,1,0.4088,0.6814,0.0,False,False
333,0,0.0366,0.0565,0.0067,False,False
333,1,0.4121,0.6869,0.0,False,False
334,3,0.0072,0.0076,0.0067,False,False
334,1,0.417,0.6949,0.0,True,True
335,0,0.0417,0.0651,0.0067,False,False
335,1,0.0,0.0001,0.0,False,False
336,0,0.0477,0.0707,0.0133,False,False
336,1,0.0001,0.0002,0.0,False,False
337,0,0.0454,0.0757,0.0,False,False
337,1,0.0002,0.0003,0.0,False,False
338,0,0.0507,0.08,0.0067,False,False
338,1,0.0003,0.0005,0.0,False,False
339,0,0.055,0.0873,0.0067,False,False
339,1,0.0032,0.0008,0.0067,False,False
340,0,0.0505,0.0842,0.0,False,False
